;domain;date;name;serving_time;level;nutrition;allergens;tags;ingredient
5;de;5/18;Steakstreifen mit Paprikarelish und mediterranem Ofengemüse;30 bis 40 Minuten;einfach;Kalorien 695kcal, Fett 31.4g, Eiweiß 37.1g, Kohlenhydrate 60.8g;Kann Spuren von Allergenen enthalten.;['GLUTENARM', 'FLEISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Zucchini
6;de;5/18;Steakstreifen mit Paprikarelish und mediterranem Ofengemüse;30 bis 40 Minuten;einfach;Kalorien 695kcal, Fett 31.4g, Eiweiß 37.1g, Kohlenhydrate 60.8g;Kann Spuren von Allergenen enthalten.;['GLUTENARM', 'FLEISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Festkochende Kartoffeln
7;de;5/18;Steakstreifen mit Paprikarelish und mediterranem Ofengemüse;30 bis 40 Minuten;einfach;Kalorien 695kcal, Fett 31.4g, Eiweiß 37.1g, Kohlenhydrate 60.8g;Kann Spuren von Allergenen enthalten.;['GLUTENARM', 'FLEISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Frische Petersilie, Oregano & Rosmarin
8;de;5/18;Steakstreifen mit Paprikarelish und mediterranem Ofengemüse;30 bis 40 Minuten;einfach;Kalorien 695kcal, Fett 31.4g, Eiweiß 37.1g, Kohlenhydrate 60.8g;Kann Spuren von Allergenen enthalten.;['GLUTENARM', 'FLEISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Rote Paprika
9;de;5/18;Steakstreifen mit Paprikarelish und mediterranem Ofengemüse;30 bis 40 Minuten;einfach;Kalorien 695kcal, Fett 31.4g, Eiweiß 37.1g, Kohlenhydrate 60.8g;Kann Spuren von Allergenen enthalten.;['GLUTENARM', 'FLEISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Rindersteak
0;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Frischer Koriander
1;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Tandoori-Gewürzmischung
2;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Frischer Lachs
3;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Kokosmilch
4;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Braune Linsen
